Image Name,DateTime,Trigger,Station,Session,Predicted Category,Image Path
I_00012a.JPG,2020:07:19 15:42:42,00012,VF_007,20201104,['2'],/example/image_data/Veldensteiner_Forst/Bilder_Rohten/VF_007/20201104/I_00012a.JPG
I_00012b.JPG,2020:07:19 15:42:42,00012,VF_007,20201104,['2'],/example/image_data/Veldensteiner_Forst/Bilder_Rohten/VF_007/20201104/I_00012b.JPG
I_00012c.JPG,2020:07:19 15:42:42,00012,VF_007,20201104,['2'],/example/image_data/Veldensteiner_Forst/Bilder_Rohten/VF_007/20201104/I_00012c.JPG
I_00014a.JPG,2020:07:22 13:26:38,00014,VF_007,20201104,['2'],/example/image_data/Veldensteiner_Forst/Bilder_Rohten/VF_007/20201104/I_00014a.JPG
I_00014b.JPG,2020:07:22 13:26:38,00014,VF_007,20201104,['2'],/example/image_data/Veldensteiner_Forst/Bilder_Rohten/VF_007/20201104/I_00014b.JPG
I_00014c.JPG,2020:07:22 13:26:38,00014,VF_007,20201104,['2'],/example/image_data/Veldensteiner_Forst/Bilder_Rohten/VF_007/20201104/I_00014c.JPG
I_00021a.JPG,2020:08:30 05:26:22,00021,VF_007,20201104,['1'],/example/image_data/Veldensteiner_Forst/Bilder_Rohten/VF_007/20201104/I_00021a.JPG
I_00021b.JPG,2020:08:30 05:26:22,00021,VF_007,20201104,['1'],/example/image_data/Veldensteiner_Forst/Bilder_Rohten/VF_007/20201104/I_00021b.JPG
I_00021c.JPG,2020:08:30 05:26:22,00021,VF_007,20201104,['Empty'],/example/image_data/Veldensteiner_Forst/Bilder_Rohten/VF_007/20201104/I_00021c.JPG
I_00021d.JPG,2020:08:30 05:26:22,00021,VF_007,20201104,['1'],/example/image_data/Veldensteiner_Forst/Bilder_Rohten/VF_007/20201104/I_00021d.JPG
