Image Name,DateTime,Trigger,Station,Session,Number of BBs,Predicted Category,Confidence,Location of BBs,Y Lower,Image Path
I_00042a.JPG,2018:08:16 18:54:24,00042,EF_002,Session_1_20201104,2,"['1', '1']","[0.999, 0.911]","[[0.3978, 0.3323, 0.1828, 0.3581], [0.6575, 0.4445, 0.08509, 0.08]]","[0.6903999999999999, 0.5245]",/home/user/BayDetect/example/image_data/Example_Forest/Raw_Photos/EF_002/Session_1_20201104/100CUDDY/I_00042a.JPG
I_00042c.JPG,2018:08:16 18:54:39,00042,EF_002,Session_1_20201104,1,['1'],[0.999],"[[0.478, 0.3641, 0.1559, 0.3855]]",[0.7496],/home/user/BayDetect/example/image_data/Example_Forest/Raw_Photos/EF_002/Session_1_20201104/100CUDDY/I_00042c.JPG
I_00042b.JPG,2018:08:16 18:54:31,00042,EF_002,Session_1_20201104,1,['1'],[0.999],"[[0.4548, 0.3518, 0.187, 0.3842]]",[0.736],/home/user/BayDetect/example/image_data/Example_Forest/Raw_Photos/EF_002/Session_1_20201104/100CUDDY/I_00042b.JPG
I_00051b.JPG,2018:08:02 10:05:06,00051,EF_002,Session_1_20201104,1,['1'],[0.999],"[[0.008606, 0.1896, 0.5828, 0.5725]]",[0.7621],/home/user/BayDetect/example/image_data/Example_Forest/Raw_Photos/EF_002/Session_1_20201104/100CUDDY/I_00051b.JPG
I_00071c.JPG,2018:08:15 14:28:43,00071,EF_002,Session_1_20201104,2,"['1', '1']","[0.997, 0.993]","[[0.7258, 0.4528, 0.1461, 0.1992], [0.8745, 0.4903, 0.03926, 0.149]]","[0.6519999999999999, 0.6393]",/home/user/BayDetect/example/image_data/Example_Forest/Raw_Photos/EF_002/Session_1_20201104/100CUDDY/I_00071c.JPG
