Image Name,DateTime,Trigger,Station,Session,Number of BBs,Predicted Category,Confidence,Location of BBs,Y Lower,Image Path
I_00021b.JPG,2020:08:30 05:26:22,00021,EF_001,Session_1_20201104,0,['0'],[],[],[],/home/user/BayDetect/example/image_data/Example_Forest/Raw_Photos/EF_001/Session_1_20201104/100CUDDY/I_00021b.JPG
I_00012b.JPG,2020:07:19 15:42:42,00012,EF_001,Session_1_20201104,1,['2'],[0.996],"[[0.5772, 0.4502, 0.04645, 0.1466]]",[0.5968],/home/user/BayDetect/example/image_data/Example_Forest/Raw_Photos/EF_001/Session_1_20201104/100CUDDY/I_00012b.JPG
I_00012c.JPG,2020:07:19 15:42:42,00012,EF_001,Session_1_20201104,1,['2'],[0.999],"[[0.5171, 0.4491, 0.05116, 0.1643]]",[0.6134],/home/user/BayDetect/example/image_data/Example_Forest/Raw_Photos/EF_001/Session_1_20201104/100CUDDY/I_00012c.JPG
I_00021d.JPG,2020:08:30 05:26:22,00021,EF_001,Session_1_20201104,0,['0'],[],[],[],/home/user/BayDetect/example/image_data/Example_Forest/Raw_Photos/EF_001/Session_1_20201104/100CUDDY/I_00021d.JPG
I_00021c.JPG,2020:08:30 05:26:22,00021,EF_001,Session_1_20201104,0,['0'],[],[],[],/home/user/BayDetect/example/image_data/Example_Forest/Raw_Photos/EF_001/Session_1_20201104/100CUDDY/I_00021c.JPG
